ags,year,pct_no_hauptschulabschluss
14625,2020,6.7
14625,2021,8.3
14625,2022,7.6
14625,2023,6.9
14625,2024,8.8
14626,2006,9
14626,2007,8.8
14626,2008,9.4
14626,2009,9
14626,2010,9.6
14626,2011,10.4
14626,2012,11.9
14626,2013,11.7
14626,2014,8.6
14626,2015,9
14626,2016,10.2
14626,2017,8.8
14626,2018,9.4
14626,2019,9.1
14626,2020,9.1
14626,2021,9.9
14626,2022,9.6
14626,2023,10.2
14626,2024,9.3
14627,2006,8.3
14627,2007,8.1
14627,2008,7.6
14627,2009,8.5
14627,2010,9.7
14627,2011,8
14627,2012,9
14627,2013,8.4
14627,2014,8.1
14627,2015,5.6
14627,2016,7.8
14627,2017,7.4
14627,2018,6.2
14627,2019,6.1
14627,2020,6.8
14627,2021,7.4
14627,2022,6.6
14627,2023,7
14627,2024,6.7
14628,2006,9.5
14628,2007,8.7
14628,2008,9.7
14628,2009,9.5
14628,2010,11.9
14628,2011,11.9
14628,2012,9.2
14628,2013,10.2
14628,2014,6.6
14628,2015,9.4
14628,2016,8.1
14628,2017,10.2
14628,2018,8.2
14628,2019,9.4
14628,2020,9.1
14628,2021,7.7
14628,2022,9
14628,2023,10.9
14628,2024,10
14713,2006,11.7
14713,2007,11.6
14713,2008,11.2
14713,2009,10.2
14713,2010,13.3
14713,2011,14.3
14713,2012,13.2
14713,2013,14.4
14713,2014,11.7
14713,2015,10.8
14713,2016,10.8
14713,2017,9.7
14713,2018,11.2
14713,2019,10.8
14713,2020,9.1
14713,2021,9.8
14713,2022,9
14713,2023,7.9
14713,2024,10
14729,2006,8.8
14729,2007,8.2
14729,2008,6.9
14729,2009,8.4
14729,2010,9.2
14729,2011,8.9
14729,2012,8.7
14729,2013,8.7
14729,2014,7
14729,2015,7
14729,2016,7.3
14729,2017,5.9
14729,2018,6.4
14729,2019,6.5
14729,2020,6.2
14729,2021,8.2
14729,2022,8
14729,2023,6.7
14729,2024,7.5
14730,2006,9.2
14730,2007,9
14730,2008,10.3
14730,2009,10.5
14730,2010,12.9
14730,2011,14.8
14730,2012,13.4
14730,2013,10.9
14730,2014,10.9
14730,2015,8
14730,2016,10.3
14730,2017,8.9
14730,2018,11
14730,2019,10.5
14730,2020,9.6
14730,2021,9.7
14730,2022,10.5
14730,2023,8
14730,2024,10.2
15001,2007,6.4
15001,2008,9.2
15001,2009,5.9
15001,2010,8.9
15001,2011,10.2
15001,2012,9
15001,2013,11.8
15001,2014,8.3
15001,2015,11.4
15001,2016,10
15001,2017,10.7
15001,2018,11.4
15001,2019,10.1
15001,2020,10.8
15001,2021,10.3
15001,2022,11.4
15001,2023,14.8
15001,2024,17
15002,2006,13.3
15002,2007,8.3
15002,2008,11.8
15002,2009,11.2
15002,2010,13.5
15002,2011,13.9
15002,2012,11.1
15002,2013,10.6
15002,2014,10.7
15002,2015,11
15002,2016,11.6
15002,2017,11.6
15002,2018,12.5
15002,2019,13.2
15002,2020,11.2
15002,2021,10.1
15002,2022,12.4
15002,2023,14.7
15002,2024,15.1
15003,2006,11.5
15003,2007,7.4
15003,2008,10.9
15003,2009,9.7
15003,2010,11
15003,2011,13.4
15003,2012,11.4
15003,2013,9.7
15003,2014,9.1
15003,2015,11.1
15003,2016,9.7
15003,2017,10.5
15003,2018,11.1
15003,2019,11.6
15003,2020,11.2
15003,2021,11
15003,2022,12.8
15003,2023,11.6
15003,2024,16
15081,2006,13.1
15081,2007,9
15081,2008,12.1
15081,2009,11.3
15081,2010,11.7
15081,2011,15.4
15081,2012,15.7
15081,2013,11.1
15081,2014,9.7
15081,2015,12.6
15081,2016,10.8
15081,2017,9.3
15081,2018,11.1
15081,2019,12.8
15081,2020,10.8
15081,2021,11.1
15081,2022,11.7
15081,2023,8.7
15081,2024,10.4
15082,2007,8.5
15082,2008,12
15082,2009,11.3
15082,2010,15.3
15082,2011,14.5
15082,2012,13.1
15082,2013,12.3
15082,2014,9.5
15082,2015,9.5
15082,2016,10.5
15082,2017,11.2
15082,2018,13.1
15082,2019,13.6
15082,2020,11.1
15082,2021,11.1
15082,2022,13.8
15082,2023,16.8
15082,2024,16.3
15083,2007,6.5
15083,2008,8.1
15083,2009,9.3
15083,2010,9
15083,2011,9.9
15083,2012,9
15083,2013,7.5
15083,2014,8.2
15083,2015,8.3
15083,2016,7.6
15083,2017,7
15083,2018,8.7
15083,2019,8.1
15083,2020,6.5
15083,2021,7.4
15083,2022,8
15083,2023,9.4
15083,2024,9.3
15084,2007,8.1
15084,2008,13.8
15084,2009,12.3
15084,2010,13.2
15084,2011,12.8
15084,2012,12.5
15084,2013,10.3
15084,2014,11.2
15084,2015,12.2
15084,2016,8.9
15084,2017,10.5
15084,2018,11.9
15084,2019,11.5
15084,2020,10.1
15084,2021,10.7
15084,2022,11.8
15084,2023,15.1
15084,2024,15.2
15085,2007,6.8
