ags,year,hz
07317,2022,9050.3
07317,2023,8895.8
07317,2024,8742.7
07318,2020,10122.4
07318,2021,11292.6
07318,2022,14110.6
07318,2023,15731.6
07318,2024,14025.3
07319,2020,7742.2
07319,2021,6562.5
07319,2022,6874.2
07319,2023,7545.5
07319,2024,7262.5
07320,2020,7875.9
07320,2021,6799.8
07320,2022,7896.5
07320,2023,7013.4
07320,2024,7207.3
07331,2020,3641.8
07331,2021,3535.2
07331,2022,3766.1
07331,2023,3721.3
07331,2024,3750.2
07332,2020,5370.4
07332,2021,5128.4
07332,2022,5297.8
07332,2023,5003.5
07332,2024,4655.8
07333,2020,4501.8
07333,2021,4054.9
07333,2022,4135.3
07333,2023,4336.8
07333,2024,4230.0
07334,2020,5756.8
07334,2021,5261.8
07334,2022,5598.8
07334,2023,5342.0
07334,2024,5367.6
07335,2020,4395.2
07335,2021,4616.3
07335,2022,4577.3
07335,2023,5104.6
07335,2024,4489.0
07336,2020,4958.8
07336,2021,4596.0
07336,2022,6034.4
07336,2023,6915.6
07336,2024,5973.1
07337,2020,4503.2
07337,2021,4587.3
07337,2022,4570.5
07337,2023,5062.5
07337,2024,4798.9
07338,2020,4248.8
07338,2021,3965.0
07338,2022,4196.7
07338,2023,4222.7
07338,2024,4121.5
07339,2020,4062.6
07339,2021,3899.8
07339,2022,3833.0
07339,2023,4117.3
07339,2024,3972.9
07340,2020,2868.3
07340,2021,2982.8
07340,2022,3115.4
07340,2023,3011.6
07340,2024,2914.6
08111,2020,7978.5
08111,2021,6731.3
08111,2022,8258.7
08111,2023,8781.8
08111,2024,8836.1
08115,2020,4066.9
08115,2021,3770.2
08115,2022,4031.6
08115,2023,3891.6
08115,2024,4489.9
08116,2020,4164.3
08116,2021,3572.8
08116,2022,3946.3
08116,2023,4286.9
08116,2024,4394.7
08117,2020,4305.7
08117,2021,3234.0
08117,2022,3739.1
08117,2023,3880.0
08117,2024,3777.7
08118,2020,3984.8
08118,2021,3684.0
08118,2022,3927.3
08118,2023,3774.4
08118,2024,4640.2
08119,2020,4219.6
08119,2021,3649.3
08119,2022,4110.3
08119,2023,4355.7
08119,2024,4175.2
08121,2020,6438.8
08121,2021,5533.1
08121,2022,6559.0
08121,2023,8275.3
08121,2024,7016.2
08125,2020,3037.8
08125,2021,2676.7
08125,2022,2897.4
08125,2023,3659.1
08125,2024,3121.5
08126,2020,3022.5
08126,2021,3204.9
08126,2022,3130.1
08126,2023,3721.4
08126,2024,3190.7
08127,2020,3139.8
08127,2021,2972.8
08127,2022,3253.3
08127,2023,3500.4
08127,2024,3664.1
08128,2020,3600.5
08128,2021,3456.3
08128,2022,3930.6
08128,2023,4415.0
08128,2024,4403.6
08135,2020,3825.2
08135,2021,2977.9
08135,2022,3499.6
08135,2023,3337.7
08135,2024,3535.9
08136,2020,3630.3
08136,2021,3225.3
08136,2022,3668.8
08136,2023,3808.5
08136,2024,3853.6
08211,2020,10062.5
08211,2021,6703.5
08211,2022,7545.9
08211,2023,8045.6
08211,2024,7996.3
08212,2020,8694.8
08212,2021,7653.1
08212,2022,8434.9
08212,2023,8876.7
08212,2024,8222.0
08215,2020,3738.0
08215,2021,3464.2
08215,2022,3702.4
08215,2023,3744.3
08215,2024,3746.1
08216,2020,4135.8
08216,2021,5922.7
08216,2022,4432.3
08216,2023,4492.7
08216,2024,4805.1
08221,2020,8444.7
08221,2021,7004.5
08221,2022,8006.5
08221,2023,8636.7
08221,2024,8311.3
08222,2020,9177.3
08222,2021,7561.6
08222,2022,9547.5
08222,2023,9796.4
08222,2024,9973.6
08225,2020,3268.7
08225,2021,2909.7
08225,2022,3123.1
08225,2023,4267.6
08225,2024,3395.1
08226,2020,4303.2
08226,2021,3782.3
08226,2022,4115.6
08226,2023,4306.3
08226,2024,3788.0
08231,2020,7369.2
08231,2021,6391.3
08231,2022,6674.2
08231,2023,7903.9
08231,2024,7038.4
08235,2020,3398.8
08235,2021,2926.6
08235,2022,3033.9
08235,2023,2944.4
08235,2024,3058.7
08236,2020,2722.5
08236,2021,2543.2
08236,2022,2732.3
08236,2023,2649.9
08236,2024,2875.8
08237,2020,3469.1
08237,2021,2930.8
08237,2022,3265.6
08237,2023,3524.1
08237,2024,3429.0
08311,2020,9136.0
08311,2021,9516.8
08311,2022,9997.5
08311,2023,11296.3
08311,2024,10409.9
08315,2020,4158.9
08315,2021,3949.2
08315,2022,4358.7
08315,2023,4427.9
08315,2024,4384.6
08316,2020,3718.0
08316,2021,3381.8
08316,2022,4376.4
08316,2023,4097.2
08316,2024,4259.8
08317,2020,5518.7
08317,2021,5228.6
08317,2022,6203.9
08317,2023,6534.7
08317,2024,6817.4
08325,2020,2824.6
08325,2021,2824.5
08325,2022,2967.0
08325,2023,3343.8
