ags,year,population
09271,2018,119326
09271,2019,119478
09271,2020,119479
09271,2021,120521
09271,2022,120091
09271,2023,121137
09271,2024,121844
09271,2025,121886
03401,2018,77607
03401,2019,77559
03401,2020,77503
03401,2021,77522
03401,2022,81148
03401,2023,81746
03401,2024,81406
03401,2025,81274
05758,2018,250783
05758,2019,250578
05758,2020,250547
05758,2021,250635
05758,2022,254949
05758,2023,254593
05758,2024,254404
05758,2025,253431
08115,2018,391640
08115,2019,392807
08115,2020,392898
08115,2021,393195
08115,2022,391368
08115,2023,394261
08115,2024,395167
08115,2025,394729
03154,2018,91307
03154,2019,91297
03154,2020,91518
03154,2021,91379
03154,2022,90985
03154,2023,90692
03154,2024,90227
03154,2025,89771
07339,2018,210889
07339,2019,211417
07339,2020,211525
07339,2021,212420
07339,2022,205823
07339,2023,206220
07339,2024,206454
07339,2025,206603
09362,2018,152610
09362,2019,153094
09362,2020,152270
09362,2021,153542
09362,2022,147509
09362,2023,149664
09362,2024,151389
09362,2025,151517
05774,2018,306890
05774,2019,307839
05774,2020,308335
05774,2021,309380
05774,2022,313921
05774,2023,315606
05774,2024,315912
05774,2025,314527
05114,2018,227020
05114,2019,227417
05114,2020,226844
05114,2021,227050
05114,2022,230375
05114,2023,230393
05114,2024,231406
05114,2025,230738
05370,2018,254322
05370,2019,255555
05370,2020,256458
05370,2021,258306
05370,2022,261239
05370,2023,262149
05370,2024,263681
05370,2025,263507
05513,2018,260654
05513,2019,259645
05513,2020,259105
05513,2021,260126
05513,2022,264644
05513,2023,267284
05513,2024,267930
05513,2025,266199
09671,2018,174208
09671,2019,174200
09671,2020,174658
09671,2021,174965
09671,2022,170651
09671,2023,170856
09671,2024,170945
09671,2025,170120
09188,2018,136092
09188,2019,136667
09188,2020,136610
09188,2021,136747
09188,2022,138488
09188,2023,138926
09188,2024,139329
09188,2025,139709
08226,2018,547625
08226,2019,548355
08226,2020,548233
08226,2021,549030
08226,2022,556316
08226,2023,557819
08226,2024,558561
08226,2025,559097
03452,2018,189848
03452,2019,189694
03452,2020,190178
03452,2021,190425
03452,2022,188402
03452,2023,188960
03452,2024,188816
03452,2025,188450
08235,2018,158397
08235,2019,159201
08235,2020,160149
08235,2021,160686
08235,2022,160139
08235,2023,161181
08235,2024,161251
08235,2025,160766
09572,2018,136271
09572,2019,137262
09572,2020,138105
09572,2021,139323
09572,2022,137981
09572,2023,138581
09572,2024,138325
09572,2025,138365
01055,2018,200581
01055,2019,200539
01055,2020,201487
01055,2021,202014
01055,2022,200802
01055,2023,201529
01055,2024,201472
01055,2025,201222
03101,2018,248292
03101,2019,249406
03101,2020,248561
03101,2021,248823
03101,2022,253194
03101,2023,253527
03101,2024,252962
03101,2025,252811
03159,2018,328074
03159,2019,326041
03159,2020,323900
03159,2021,323661
03159,2022,328039
03159,2023,328657
03159,2024,328028
03159,2025,330943
09779,2018,133496
09779,2019,133783
09779,2020,134324
09779,2021,134986
09779,2022,133770
09779,2023,134677
09779,2024,135098
09779,2025,135262
08222,2018,309370
08222,2019,310658
08222,2020,309721
08222,2021,311831
08222,2022,314961
08222,2023,316256
08222,2024,318035
08222,2025,319536
09173,2018,127227
09173,2019,127917
09173,2020,128212
09173,2021,127919
09173,2022,129062
09173,2023,129787
09173,2024,130248
09173,2025,130081
08437,2018,130873
08437,2019,130849
08437,2020,130946
08437,2021,131725
08437,2022,132507
08437,2023,132758
08437,2024,132167
08437,2025,131988
05766,2018,348391
05766,2019,347514
05766,2020,346970
05766,2021,346151
05766,2022,348275
05766,2023,347613
05766,2024,347149
05766,2025,346212
03255,2018,70975
03255,2019,70458
03255,2020,70207
03255,2021,69862
03255,2022,66288
