ags,year,divorces
03355,2019,93
03355,2020,111
03355,2021,125
03355,2022,113
03355,2023,114
03355,2024,78
07314,2018,119
07314,2019,56
07314,2020,119
07314,2021,150
07314,2022,96
07314,2023,69
07314,2024,59
09185,2018,43
09185,2019,36
09185,2020,40
09185,2021,42
09185,2022,71
09185,2023,42
09185,2024,80
09675,2018,32
09675,2019,43
09675,2020,29
09675,2021,50
09675,2022,61
09675,2023,34
09675,2024,75
09163,2018,26
09163,2019,28
09163,2020,25
09163,2021,40
09163,2022,30
09163,2023,18
09163,2024,24
01001,2018,48
01001,2019,85
01001,2020,25
01001,2021,29
01001,2022,31
01001,2023,62
01001,2024,27
03102,2018,103
03102,2019,59
03102,2020,55
03102,2021,52
03102,2022,44
03102,2023,45
03102,2024,55
09272,2018,63
09272,2019,37
09272,2020,64
09272,2021,74
09272,2022,38
09272,2023,29
09272,2024,21
08125,2018,155
08125,2019,151
08125,2020,140
08125,2021,171
08125,2022,139
08125,2023,122
08125,2024,306
09479,2018,30
09479,2019,83
09479,2020,33
09479,2021,65
09479,2022,35
09479,2023,24
09479,2024,58
08235,2018,69
08235,2019,73
08235,2020,136
08235,2021,79
08235,2022,62
08235,2023,46
08235,2024,50
09361,2018,16
09361,2019,15
09361,2020,16
09361,2021,12
09361,2022,16
09361,2023,18
09361,2024,19
06534,2018,129
06534,2019,125
06534,2020,200
06534,2021,116
06534,2022,96
06534,2023,77
06534,2024,111
09261,2018,15
09261,2019,16
09261,2020,33
09261,2021,44
09261,2022,17
09261,2023,20
09261,2024,57
09662,2018,19
09662,2019,21
09662,2020,17
09662,2021,41
09662,2022,39
09662,2023,18
09662,2024,36
08222,2018,109
08222,2019,115
08222,2020,302
08222,2021,118
08222,2022,114
08222,2023,102
08222,2024,77
06436,2018,58
06436,2019,43
06436,2020,90
06436,2021,51
06436,2022,53
06436,2023,44
06436,2024,48
03455,2018,62
03455,2019,100
03455,2020,113
03455,2021,43
03455,2022,51
03455,2023,89
03455,2024,50
09474,2018,50
09474,2019,54
09474,2020,47
09474,2021,27
09474,2022,53
09474,2023,37
09474,2024,88
09171,2018,42
09171,2019,53
09171,2020,47
09171,2021,45
09171,2022,75
09171,2023,44
09171,2024,41
09575,2018,67
09575,2019,52
09575,2020,44
09575,2021,75
09575,2022,48
09575,2023,48
09575,2024,82
09183,2018,54
09183,2019,47
09183,2020,45
09183,2021,39
09183,2022,39
09183,2023,51
09183,2024,49
09775,2018,144
09775,2019,79
09775,2020,158
09775,2021,139
09775,2022,64
09775,2023,79
09775,2024,63
09562,2018,45
09562,2019,40
09562,2020,34
09562,2021,73
09562,2022,26
09562,2023,33
09562,2024,72
03353,2018,160
03353,2019,121
03353,2020,124
03353,2021,141
03353,2022,124
03353,2023,127
03353,2024,97
05513,2018,253
05513,2019,114
05513,2020,120
05513,2021,110
05513,2022,115
05513,2023,117
05513,2024,121
08226,2018,211
08226,2019,229
08226,2020,471
08226,2021,282
08226,2022,263
08226,2023,465
08226,2024,452
09771,2018,56
09771,2019,42
09771,2020,71
09771,2021,107
09771,2022,90
09771,2023,92
09771,2024,103
03157,2018,54
03157,2019,101
03157,2020,84
03157,2021,65
03157,2022,73
03157,2023,88
03157,2024,38
09763,2018,21
09763,2019,44
09763,2020,25
09763,2021,25
09763,2022,12
09763,2023,15
09763,2024,36
05970,2018,139
05970,2019,134
05970,2020,137
05970,2021,238
05970,2022,218
05970,2023,196
05970,2024,106
05974,2018,288
05974,2019,253
05974,2020,157
05974,2021,252
05974,2022,250
05974,2023,124
05974,2024,154
07140,2018,57
07140,2019,44
07140,2020,49
07140,2021,51
07140,2022,47
07140,2023,56
07140,2024,57
03457,2018,153
03457,2019,147
03457,2020,87
03457,2021,72
