ags,year,persons
04011,2024,78803
09565,2018,1797
09565,2020,1695
09565,2022,1886
09565,2024,1964
07313,2018,3008
07313,2020,3194
07313,2022,3216
07313,2024,3529
09161,2018,5996
09161,2020,6504
09161,2022,7181
09161,2024,7274
09663,2018,6610
09663,2020,6333
09663,2022,6126
09663,2024,6086
09476,2018,1634
09476,2020,1488
09476,2022,1591
09476,2024,1664
09187,2018,4801
09187,2020,4883
09187,2022,5468
09187,2024,5747
07232,2018,3085
07232,2020,2904
07232,2022,3342
07232,2024,3368
09574,2018,4183
09574,2020,3981
09574,2022,4348
09574,2024,4419
06413,2018,16631
06413,2020,15431
06413,2022,14248
06413,2024,14018
09672,2018,2827
09672,2020,2686
09672,2022,3227
09672,2024,3320
03257,2018,11195
03257,2020,9723
03257,2022,9700
03257,2024,9506
07339,2018,8979
07339,2020,8874
07339,2022,9216
07339,2024,9372
09779,2018,1878
09779,2020,1947
09779,2022,2670
09779,2024,3097
03355,2018,12832
03355,2020,11698
03355,2022,11715
03355,2024,11191
03159,2018,20809
03159,2020,20127
03159,2022,20897
03159,2024,21399
08221,2018,6651
08221,2020,6664
08221,2022,7079
08221,2024,6596
06631,2018,9387
06631,2020,8796
06631,2022,9910
06631,2024,10400
05374,2018,14880
05374,2020,14308
05374,2022,15420
05374,2024,15849
03102,2018,14589
03102,2020,13950
03102,2022,13564
03102,2024,13027
06435,2018,25204
06435,2020,25655
06435,2022,26459
06435,2024,28283
05570,2018,16242
05570,2020,14692
05570,2022,15296
05570,2024,16041
06533,2018,10922
06533,2020,9763
06533,2022,10071
06533,2024,10891
07134,2018,5438
07134,2020,5613
07134,2022,6040
07134,2024,5988
08426,2018,4898
08426,2020,4238
08426,2022,5420
08426,2024,5777
08136,2018,9898
08136,2020,10235
08136,2022,11899
08136,2024,12303
05962,2018,32214
05962,2020,32122
05962,2022,32702
05962,2024,34296
09276,2018,2218
09276,2020,2092
09276,2022,2228
09276,2024,2435
09178,2018,2945
09178,2020,3211
09178,2022,3879
09178,2024,4741
09374,2018,2479
09374,2020,2057
09374,2022,2616
09374,2024,2621
05766,2018,26977
05766,2020,24975
05766,2022,25338
05766,2024,24606
09472,2018,2166
09472,2020,1849
09472,2022,2317
09472,2024,2426
09263,2018,2758
09263,2020,2746
09263,2022,2604
09263,2024,2852
03457,2018,9914
03457,2020,9036
03457,2022,9715
03457,2024,9681
08212,2018,16419
08212,2020,15967
08212,2022,16071
08212,2024,16010
09361,2018,2366
09361,2020,2108
09361,2022,2170
09361,2024,2323
07143,2018,7535
07143,2020,7079
07143,2022,7612
07143,2024,8242
07317,2018,5643
07317,2020,5118
07317,2022,5032
07317,2024,5267
08315,2018,8737
08315,2020,8739
08315,2022,9852
08315,2024,10313
09182,2018,1519
09182,2020,1543
09182,2022,1832
09182,2024,1982
06634,2018,8439
06634,2020,7887
06634,2022,8487
06634,2024,8796
08435,2018,6479
08435,2020,6169
08435,2022,7647
08435,2024,7939
09676,2018,3641
09676,2020,3710
09676,2022,4177
09676,2024,5052
03359,2018,15065
03359,2020,14477
03359,2022,15337
03359,2024,15399
09774,2018,2376
09774,2020,2287
09774,2022,2658
09774,2024,2879
06438,2018,21659
06438,2020,22462
06438,2022,22300
06438,2024,23193
08337,2018,5457
08337,2020,5420
08337,2022,6561
08337,2024,6872
08225,2018,4669
08225,2020,4509
08225,2022,5046
08225,2024,4977
08127,2018,5970
08127,2020,5756
08127,2022,7244
08127,2024,7568
01004,2018,9633
01004,2020,9307
01004,2022,8768
01004,2024,8513
05370,2018,16805
05370,2020,15564
05370,2022,15945
05370,2024,17139
06431,2018,14547
06431,2020,14189
06431,2022,14954
06431,2024,15063
05513,2018,52570
05513,2020,52284
05513,2022,52881
05513,2024,52631
03360,2018,5686
03360,2020,5150
03360,2022,5831
03360,2024,5344
05120,2018,11487
05120,2020,10948
05120,2022,11252
05120,2024,11385
09463,2018,2623
09463,2020,2625
09463,2022,3043
09463,2024,3253
05762,2018,6443
05762,2020,6102
05762,2022,7081
05762,2024,7277
09561,2018,2709
09561,2020,2439
09561,2022,2597
09561,2024,2494
08222,2018,28681
08222,2020,29434
08222,2022,30338
08222,2024,29549
01053,2018,12631
01053,2020,12148
01053,2022,12889
01053,2024,12946
08421,2018,5832
08421,2020,5914
08421,2022,6425
08421,2024,6212
09188,2018,2616
09188,2020,2657
09188,2022,3360
09188,2024,3168
08231,2018,11904
08231,2020,11534
08231,2022,11868
08231,2024,12418
08119,2018,18732
08119,2020,19107
08119,2022,20485
08119,2024,21511
05978,2018,37560
05978,2020,34664
05978,2022,34087
05978,2024,33712
03151,2018,8845
03151,2020,8337
03151,2022,9190
03151,2024,8616
05170,2018,35013
05170,2020,33208
05170,2022,33850
05170,2024,34319
05117,2018,21582
05117,2020,20401
05117,2022,20417
05117,2024,19937
08111,2018,40799
08111,2020,40097
08111,2022,40750
08111,2024,41335
05566,2018,23156
05566,2020,20606
05566,2022,22208
05566,2024,24165
03454,2018,14240
03454,2020,12687
03454,2022,13334
03454,2024,13397
09175,2018,2156
09175,2020,2238
09175,2022,3194
09175,2024,3030
09273,2018,2447
09273,2020,2129
09273,2022,2580
09273,2024,2863
09371,2018,2253
09371,2020,2035
09371,2022,2555
09371,2024,2861
03405,2018,11809
03405,2020,11068
03405,2022,10934
03405,2024,10549
01062,2018,11235
01062,2020,11070
01062,2022,11584
01062,2024,12394
05316,2018,17732
05316,2020,17256
05316,2022,16860
05316,2024,16671
09571,2018,2680
09571,2020,2355
